Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1506    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
     5987    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      686    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
  411/175    0.001    0.000    0.020    0.000 sre_parse.py:417(_parse_sub)
       11    0.001    0.000    0.002    0.000 enum.py:135(__new__)
     1614    0.001    0.000    0.018    0.000 artist.py:1319(is_alias)
      287    0.001    0.000    0.003    0.000 overrides.py:72(verify_matching_signatures)
       12    0.001    0.000    0.014    0.001 artist.py:1213(get_aliases)
      317    0.001    0.000    0.019    0.000 overrides.py:154(decorator)
     3366    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      410    0.001    0.000    0.002    0.000 copy.py:66(copy)
        1    0.001    0.001    0.001    0.001 {method 'dot' of 'numpy.ndarray' objects}
      175    0.001    0.000    0.031    0.000 sre_compile.py:759(compile)
      334    0.001    0.000    0.015    0.000 _compression.py:66(readinto)
     1780    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      522    0.001    0.000    0.001    0.000 {built-in method numpy.array}
     3838    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
       72    0.001    0.000    0.007    0.000 __init__.py:1525(_preprocess_data)
     2548    0.001    0.000    0.001    0.000 inspect.py:2799(<genexpr>)
     3714    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      321    0.001    0.000    0.004    0.000 textwrap.py:414(dedent)
     1520    0.001    0.000    0.002    0.000 re.py:170(match)
   260/11    0.001    0.000    0.002    0.000 pyparsing.py:1633(_parseNoCache)
     5045    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     1282    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     1536    0.001    0.000    0.002    0.000 colors.py:115(_is_nth_color)
       12    0.001    0.000    0.001    0.000 artist.py:1224(<listcomp>)
      322    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
       34    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     2317    0.000    0.000    0.001    0.000 enum.py:526(__new__)
     1260    0.000    0.000    0.000    0.000 colors.py:249(<genexpr>)
      175    0.000    0.000    0.002    0.000 sre_compile.py:536(_compile_info)
      338    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
     1949    0.000    0.000    0.001    0.000 sre_parse.py:172(append)
  495/315    0.000    0.000    0.002    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    272/3    0.000    0.000    0.278    0.093 <frozen importlib._bootstrap_external>:722(exec_module)
      584    0.000    0.000    0.001    0.000 gzip.py:80(read)
      327    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      272    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
       10    0.000    0.000    0.002    0.000 pyparsing.py:3118(__init__)
      618    0.000    0.000    0.002    0.000 _inspect.py:98(getargspec)
     2552    0.000    0.000    0.001    0.000 sre_parse.py:249(match)
      492    0.000    0.000    0.004    0.000 rcsetup.py:374(validate_color)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      233    0.000    0.000    0.000    0.000 pyparsing.py:1386(__init__)
     2751    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      334    0.000    0.000    0.015    0.000 {method 'read1' of '_io.BufferedReader' objects}
     2097    0.000    0.000    0.001    0.000 sre_parse.py:160(__len__)
     4272    0.000    0.000    0.000    0.000 inspect.py:2517(name)
        1    0.000    0.000    0.025    0.025 backend_qt5.py:1(<module>)
      129    0.000    0.000    0.000    0.000 deprecation.py:24(_generate_deprecation_warning)
       17    0.000    0.000    0.002    0.000 {built-in method builtins.eval}
     1321    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      272    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       11    0.000    0.000    0.040    0.004 artist.py:1349(pprint_setters)
      449    0.000    0.000    0.001    0.000 artist.py:1301(_replace_path)
       31    0.000    0.000    0.000    0.000 {built-in method io.open}
     1345    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
      175    0.000    0.000    0.021    0.000 sre_parse.py:919(parse)
      408    0.000    0.000    0.001    0.000 artist.py:1326(aliased_name)
     1563    0.000    0.000    0.000    0.000 inspect.py:158(isfunction)
      175    0.000    0.000    0.001    0.000 enum.py:836(__and__)
      410    0.000    0.000    0.001    0.000 copy.py:268(_reconstruct)
      114    0.000    0.000    0.002    0.000 deprecation.py:183(deprecate)
      272    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
  327/323    0.000    0.000    0.034    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      273    0.000    0.000    0.001    0.000 function_base.py:441(add_newdoc)
      358    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      607    0.000    0.000    0.000    0.000 functools.py:67(wraps)
      695    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      322    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      334    0.000    0.000    0.002    0.000 gzip.py:489(_add_read_data)
      322    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     1263    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      544    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      334    0.000    0.000    0.016    0.000 gzip.py:278(read1)
      358    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       12    0.000    0.000    0.155    0.013 __init__.py:1(<module>)
      594    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
      331    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        8    0.000    0.000    0.000    0.000 {built-in method gc.collect}
   361/29    0.000    0.000    0.192    0.007 {built-in method builtins.__import__}
      355    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      964    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      665    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
     2146    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      410    0.000    0.000    0.002    0.000 pyparsing.py:1409(copy)
      816    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
     1035    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
     2079    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     2665    0.000    0.000    0.000    0.000 inspect.py:2529(kind)
      451    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
       31    0.000    0.000    0.006    0.000 _collections_abc.py:824(update)
       15    0.000    0.000    0.000    0.000 arrayprint.py:465(wrapper)
      232    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        1    0.000    0.000    0.002    0.002 pyplot.py:2031(_setup_pyplot_info_docstrings)
      361    0.000    0.000    0.002    0.000 re.py:185(sub)
      255    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
      468    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
      147    0.000    0.000    0.000    0.000 posixpath.py:75(join)
      272    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      446    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
      143    0.000    0.000    0.000    0.000 enum.py:70(__setitem__)
       60    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      501    0.000    0.000    0.011    0.000 re.py:180(search)
     2079    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      175    0.000    0.000    0.009    0.000 sre_compile.py:598(_code)
     1035    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      491    0.000    0.000    0.003    0.000 colors.py:120(is_color_like)
      254    0.000    0.000    0.003    0.000 rcsetup.py:358(validate_color_for_prop_cycle)
       82    0.000    0.000    0.001    0.000 inspect.py:535(_finddoc)
      272    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      184    0.000    0.000    0.000    0.000 enum.py:376(__setattr__)
      167    0.000    0.000    0.003    0.000 rcsetup.py:68(f)
     2475    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      588    0.000    0.000    0.000    0.000 <string>:1(__new__)
      375    0.000    0.000    0.000    0.000 gzip.py:93(prepend)
  200/167    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
     1897    0.000    0.000    0.000    0.000 inspect.py:2521(default)
      272    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
    465/3    0.000    0.000    0.278    0.093 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      345    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
        7    0.000    0.000    0.001    0.000 enum.py:654(<listcomp>)
       36    0.000    0.000    0.004    0.000 __init__.py:1496(_add_data_doc)
      418    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       86    0.000    0.000    0.000    0.000 docstring.py:38(__call__)
      175    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      339    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
       19    0.000    0.000    0.004    0.000 rcsetup.py:866(validate_cycler)
      312    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
     1268    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      817    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      618    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        2    0.000    0.000    0.001    0.000 decoder.py:343(raw_decode)
  263/261    0.000    0.000    0.000    0.000 pyparsing.py:546(__init__)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
      176    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       11    0.000    0.000    0.000    0.000 enum.py:177(<setcomp>)
      410    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
       24    0.000    0.000    0.001    0.000 traceback.py:318(extract)
     1388    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      355    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.000    0.000 six.py:21(<module>)
      149    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
      550    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.022    0.022 qt_compat.py:65(_setup_pyqt5)
      192    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      111    0.000    0.000    0.003    0.000 rcsetup.py:90(<listcomp>)
     1307    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1302    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      362    0.000    0.000    0.000    0.000 rcsetup.py:118(validate_bool)
       67    0.000    0.000    0.001    0.000 pyparsing.py:3980(__init__)
        1    0.000    0.000    0.006    0.006 numeric.py:1(<module>)
      327    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      101    0.000    0.000    0.000    0.000 font_manager.py:883(_json_decode)
        1    0.000    0.000    0.162    0.162 pyplot.py:19(<module>)
        1    0.000    0.000    0.010    0.010 _axes.py:97(Axes)
     72/4    0.000    0.000    0.001    0.000 pyparsing.py:1821(_parseCache)
      374    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
     1434    0.000    0.000    0.000    0.000 inspect.py:2525(annotation)
      736    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       83    0.000    0.000    0.000    0.000 pyparsing.py:3839(__init__)
        6    0.000    0.000    0.002    0.000 patches.py:1872(_pprint_styles)
       50    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      618    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
    63/11    0.000    0.000    0.002    0.000 pyparsing.py:4017(parseImpl)
      272    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.000    0.000    0.004    0.004 mathtext.py:2838(<listcomp>)
       54    0.000    0.000    0.001    0.000 __init__.py:890(_open_file_or_url)
      145    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
      721    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       35    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      150    0.000    0.000    0.006    0.000 cm.py:81(_generate_cmap)
      708    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      631    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        1    0.000    0.000    0.001    0.001 core.py:21(<module>)
      101    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 _color_data.py:992(<dictcomp>)
        1    0.000    0.000    0.013    0.013 pyparsing.py:96(<module>)
        1    0.000    0.000    0.018    0.018 rcsetup.py:15(<module>)
      410    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
     1275    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      130    0.000    0.000    0.000    0.000 pyplot.py:1780(<genexpr>)
      164    0.000    0.000    0.000    0.000 colors.py:454(__init__)
      327    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       60    0.000    0.000    0.000    0.000 fromnumeric.py:73(_wrapreduction)
      485    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       26    0.000    0.000    0.000    0.000 posixpath.py:338(normpath)
      339    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      614    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
       67    0.000    0.000    0.000    0.000 pyparsing.py:4410(__init__)
      263    0.000    0.000    0.000    0.000 pyparsing.py:537(__new__)
      350    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      355    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      432    0.000    0.000    0.000    0.000 colors.py:217(<genexpr>)
      327    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
        1    0.000    0.000    0.011    0.011 core.py:182(read_style_directory)
      252    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(can_cast)
      335    0.000    0.000    0.000    0.000 _compression.py:12(_check_not_closed)
       27    0.000    0.000    0.005    0.000 pyparsing.py:3263(__init__)
     33/5    0.000    0.000    0.000    0.000 pyparsing.py:3897(streamline)
       42    0.000    0.000    0.000    0.000 gzip.py:405(_read_gzip_header)
      192    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
      372    0.000    0.000    0.000    0.000 gzip.py:298(closed)
      724    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      368    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      175    0.000    0.000    0.000    0.000 sre_parse.py:903(fix_flags)
       82    0.000    0.000    0.000    0.000 inspect.py:525(_findclass)
        2    0.000    0.000    0.072    0.036 __init__.py:7(<module>)
    55/19    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
       40    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
        1    0.000    0.000    0.066    0.066 __init__.py:106(<module>)
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       19    0.000    0.000    0.000    0.000 cycler.py:349(by_key)
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
      871    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       73    0.000    0.000    0.001    0.000 deprecation.py:237(finalize)
      8/3    0.000    0.000    0.026    0.009 pyplot.py:182(switch_backend)
      167    0.000    0.000    0.000    0.000 gzip.py:389(_read_exact)
       82    0.000    0.000    0.000    0.000 sre_parse.py:843(_parse_flags)
    50/48    0.000    0.000    0.030    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
      339    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      467    0.000    0.000    0.000    0.000 artist.py:1334(<genexpr>)
   114/56    0.000    0.000    0.002    0.000 pyparsing.py:3937(copy)
      336    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
       41    0.000    0.000    0.000    0.000 gzip.py:493(_read_eof)
      374    0.000    0.000    0.000    0.000 abc.py:137(__instancecheck__)
      272    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      344    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
     56/9    0.000    0.000    0.002    0.000 pyparsing.py:3866(leaveWhitespace)
        1    0.000    0.000    0.001    0.001 numerictypes.py:81(<module>)
      317    0.000    0.000    0.000    0.000 overrides.py:112(array_function_dispatch)
        1    0.000    0.000    0.112    0.112 __init__.py:101(<module>)
       60    0.000    0.000    0.000    0.000 cm.py:60(<listcomp>)
        8    0.000    0.000    0.001    0.000 __init__.py:1926(_define_aliases)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      573    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      324    0.000    0.000    0.000    0.000 rcsetup.py:144(validate_float)
       30    0.000    0.000    0.000    0.000 __init__.py:1216(getLogger)
      310    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
       50    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      126    0.000    0.000    0.000    0.000 colors.py:655(__init__)
        1    0.000    0.000    0.001    0.001 tokenize.py:21(<module>)
      175    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      179    0.000    0.000    0.000    0.000 rcsetup.py:58(__call__)
      460    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.000    0.000 widgets.py:1974(RectangleSelector)
       52    0.000    0.000    0.000    0.000 core.py:889(__init__)
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
       82    0.000    0.000    0.004    0.000 docstring.py:113(dedent_interpd)
       54    0.000    0.000    0.000    0.000 pyparsing.py:3339(__str__)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
       24    0.000    0.000    0.000    0.000 dviread.py:154(decorate)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
      252    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      308    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
        1    0.000    0.000    0.000    0.000 contextlib.py:71(inner)
        1    0.000    0.000    0.000    0.000 __init__.py:872(<dictcomp>)
        1    0.000    0.000    0.008    0.008 cm.py:19(<module>)
        1    0.000    0.000    0.001    0.001 random.py:38(<module>)
       72    0.000    0.000    0.000    0.000 __init__.py:1946(make_alias)
      588    0.000    0.000    0.000    0.000 inspect.py:2839(return_annotation)
       53    0.000    0.000    0.000    0.000 inspect.py:484(unwrap)
      552    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      139    0.000    0.000    0.000    0.000 pyparsing.py:2563(__eq__)
       36    0.000    0.000    0.000    0.000 pyparsing.py:2848(__init__)
       60    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        6    0.000    0.000    0.000    0.000 numeric.py:2400(extend_all)
      309    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
       17    0.000    0.000    0.000    0.000 cycler.py:191(_from_iter)
      273    0.000    0.000    0.000    0.000 function_base.py:434(_add_docstring)
      307    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
       21    0.000    0.000    0.001    0.000 pyparsing.py:1504(setParseAction)
        1    0.000    0.000    0.003    0.003 defchararray.py:17(<module>)
       24    0.000    0.000    0.000    0.000 pathlib.py:63(parse_parts)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:3(<module>)
      145    0.000    0.000    0.000    0.000 inspect.py:714(getmodule)
      345    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
       27    0.000    0.000    0.000    0.000 core.py:172(iter_style_files)
      121    0.000    0.000    0.000    0.000 pyparsing.py:1614(preParse)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
       30    0.000    0.000    0.000    0.000 __init__.py:1267(_fixupParents)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:1751(<dictcomp>)
       42    0.000    0.000    0.000    0.000 pyparsing.py:938(copy)
       60    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
        1    0.000    0.000    0.005    0.005 multiarray.py:7(<module>)
       27    0.000    0.000    0.015    0.001 __init__.py:973(rc_params_from_file)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 markers.py:165(MarkerStyle)
   114/56    0.000    0.000    0.001    0.000 pyparsing.py:3939(<listcomp>)
       56    0.000    0.000    0.000    0.000 rcsetup.py:71(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:994(<listcomp>)
       40    0.000    0.000    0.000    0.000 os.py:673(__getitem__)
